model,time,value
clinicaltrial_K=0.00725C,17.284416,0.75362
clickgraph_K=0.00725C,54.467414,0.63573
radarquery_K=0.00725C,0.332904,7.4503
bernoulli_K=0.00725C,0.344638,0.25693
normalmixtures_K=0.00725C,14.142809,0.60328
clinicaltrial_K=0.015C,50.243669,0.76604
clickgraph_K=0.015C,157.627114,0.60964
radarquery_K=0.015C,0.835849,5.8825
bernoulli_K=0.015C,0.618503,0.2569
normalmixtures_K=0.015C,30.013097,0.49728
clinicaltrial_K=0.003625C,21.599552,0.75341
clickgraph_K=0.003625C,22.963575,0.64794
radarquery_K=0.003625C,0.324297,5.33919
bernoulli_K=0.003625C,0.197878,0.25675
normalmixtures_K=0.003625C,6.392696,0.34231
